STATION|NAME|DATE|Max Temp
01052099999|HAMMERFEST AIRPORT, NO|2010-06-26|  72.9
99407099999|DESTRUCTION IS. WA, WA US|2010-08-15|  74.8
01008099999|LONGYEAR, SV|2011-08-17|  62.8
01046099999|SORKJOSEN, NO|2011-07-09|  87.8
01023099999|BARDUFOSS, NO|2012-07-05|  72.0
01044099999|HASVIK, NO|2012-07-14|  69.8
01001499999|SORSTOKKEN, NO|2013-08-02|  80.6
01008099999|LONGYEAR, SV|2013-07-03|  59.0
01008099999|LONGYEAR, SV|2013-08-17|  59.0
01008099999|LONGYEAR, SV|2014-07-08|  53.6
01008099999|LONGYEAR, SV|2014-08-03|  53.6
01008099999|LONGYEAR, SV|2014-08-04|  53.6
01008099999|LONGYEAR, SV|2014-08-22|  53.6
01023099999|BARDUFOSS, NO|2014-07-10|  89.6
01008099999|LONGYEAR, SV|2015-07-30|  64.4
01025099999|TROMSO, NO|2015-07-30|  71.6
01008099999|LONGYEAR, SV|2016-07-03|  58.1
01023199999|DRAUGEN, NO|2016-07-21|  77.0
01008099999|LONGYEAR, SV|2017-07-17|  55.4
01023099999|BARDUFOSS, NO|2017-06-09|  78.6
01008099999|LONGYEAR, SV|2018-08-02|  59.2
01025099999|TROMSO, NO|2018-07-29|  84.2
01008099999|LONGYEAR, SV|2019-07-06|  61.0
01023099999|BARDUFOSS, NO|2019-07-21|  78.8
01023099999|BARDUFOSS, NO|2019-07-22|  78.8
01008099999|LONGYEAR, SV|2020-07-25|  71.1
01023099999|BARDUFOSS, NO|2020-06-22|  79.9
01062099999|HOPEN ISLAND, NO|2021-10-05|  47.3
01065099999|KARASJOK, NO|2021-07-05|  88.3
01241099999|ORLAND, NO|2022-06-25|  82.4
01241099999|ORLAND, NO|2022-06-26|  82.4
01241099999|ORLAND, NO|2022-07-01|  82.4
02095099999|PAJALA, SW|2022-07-01|  85.5

STATION|NAME|DATE|MIN Temp
01052099999|HAMMERFEST AIRPORT, NO|2010-01-29|  -1.1
